glong	glat	vcmb
114.68598	-35.17261	8872.00000
314.79418	-65.93348	9899.00000
115.25843	-31.94672	4505.00000
316.17068	-67.71435	3402.00000
115.27530	-31.91674	4484.00000
113.96785	-39.25556	5381.00000
326.02094	-75.28383	8003.00000
315.08490	-66.44348	12938.00000
316.10856	-67.71099	3183.00000
113.86342	-39.90818	5895.00000
112.76060	-44.93557	4933.00000
113.89424	-39.83278	5862.00000
312.36565	-62.30827	6408.00000
107.49185	-60.80815	5121.00000
113.91794	-39.79038	5311.00000
113.94931	-39.75805	6302.00000
115.20143	-32.76001	6710.00000
326.01452	-75.37148	8422.00000
116.48327	-24.40444	10633.00000
116.47102	-24.41926	10201.00000
304.34822	-35.92797	3899.00000
78.82773	-79.89184	7224.00000
309.07255	-55.06147	9885.00000
315.62694	-67.83093	3001.00000
56.16254	-82.85232	9627.00000
115.56327	-32.52137	8867.00000
110.37262	-55.35526	7207.00000
110.42289	-55.21114	11802.00000
90.80108	-77.05012	6307.00000
93.66029	-75.75713	6192.00000
336.07393	-79.40698	7183.00000
113.05338	-46.07156	4902.00000
310.67554	-59.86424	10070.00000
108.89202	-59.68054	11583.00000
112.56879	-48.60284	5077.00000
309.51519	-57.14808	8800.00000
108.67917	-60.24626	11731.00000
325.42539	-75.89309	8578.00000
114.00960	-42.11708	5385.00000
114.23002	-41.54775	4963.00000
115.88935	-31.93240	6101.00000
310.44727	-59.81004	10493.00000
115.36368	-35.54335	9020.00000
117.15108	-23.02327	10513.00000
106.40791	-65.04743	5846.00000
308.45092	-54.56009	10096.00000
349.08895	-81.94868	3111.00000
114.96103	-38.14014	5354.00000
115.21647	-36.79851	7049.00000
95.47921	-75.63926	6952.00000
113.04565	-48.11276	5045.00000
317.51206	-70.84659	5425.00000
117.11528	-24.38113	5616.00000
313.42288	-65.89035	7220.00000
96.17824	-75.41602	7008.00000
104.98169	-67.95876	7841.00000
109.29878	-60.42847	3934.00000
113.30075	-46.58743	4969.00000
105.60485	-67.11767	5743.00000
116.02120	-32.95313	4352.00000
114.62409	-41.33942	5034.00000
95.78611	-76.03266	6996.00000
29.81960	-84.10987	10242.00000
111.25469	-55.60641	8300.00000
117.87736	-18.94912	4831.00000
116.34728	-31.18943	6488.00000
108.88321	-61.83919	2927.00000
111.27246	-55.78507	8312.00000
116.20420	-32.49202	4538.00000
111.44761	-55.58410	8600.00000
113.09156	-49.48746	4845.00000
114.69908	-42.21865	4065.00000
118.22654	-16.71282	4811.00000
115.48946	-37.68527	4224.00000
103.73996	-70.32619	9661.00000
109.35268	-61.34116	5003.00000
107.96165	-64.18778	4181.00000
309.84540	-59.58953	10616.00000
103.82955	-70.19424	5957.00000
344.34047	-81.85895	4653.00000
308.05626	-54.54248	9048.00000
111.21431	-56.87275	11421.00000
115.74766	-36.79178	9732.00000
102.67670	-71.52123	4870.00000
115.76815	-36.79223	9796.00000
116.28593	-33.33111	4451.00000
113.68515	-48.06620	10833.00000
115.14987	-40.69235	5251.00000
115.80048	-36.80123	9926.00000
